date,run_id,strategy_family,parameters,data_window,gross_or_net,sharpe,max_drawdown,annual_turnover,why_run
2026-07-02,S1_gross,buy_and_hold,"{""asset"": ""BTC"", ""cost_per_side"": 0.0}",2019-07-22..2026-07-01,gross,0.7254,-0.7663,0.0,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S1_net25,buy_and_hold,"{""asset"": ""BTC"", ""cost_per_side"": 0.0025}",2019-07-22..2026-07-01,net25,0.7254,-0.7663,0.0,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S1_net50,buy_and_hold,"{""asset"": ""BTC"", ""cost_per_side"": 0.005}",2019-07-22..2026-07-01,net50,0.7254,-0.7663,0.0,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S2_gross,equal_weight,"{""cost_per_side"": 0.0}",2019-07-22..2026-07-01,gross,0.5265,-0.8362,4.6147,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S2_net25,equal_weight,"{""cost_per_side"": 0.0025}",2019-07-22..2026-07-01,net25,0.4987,-0.8395,4.6147,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S2_net50,equal_weight,"{""cost_per_side"": 0.005}",2019-07-22..2026-07-01,net50,0.4708,-0.8532,4.6147,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S3a_gross,ma_filter,"{""N"": 200, ""asset"": ""BTC"", ""cost_per_side"": 0.0}",2019-07-22..2026-07-01,gross,0.8183,-0.5098,1.7991,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S3a_net25,ma_filter,"{""N"": 200, ""asset"": ""BTC"", ""cost_per_side"": 0.0025}",2019-07-22..2026-07-01,net25,0.7975,-0.5196,1.7991,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S3a_net50,ma_filter,"{""N"": 200, ""asset"": ""BTC"", ""cost_per_side"": 0.005}",2019-07-22..2026-07-01,net50,0.7767,-0.5291,1.7991,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S3b_gross,ma_filter,"{""N"": 100, ""asset"": ""BTC"", ""cost_per_side"": 0.0}",2019-07-22..2026-07-01,gross,1.0832,-0.4802,2.0869,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S3b_net25,ma_filter,"{""N"": 100, ""asset"": ""BTC"", ""cost_per_side"": 0.0025}",2019-07-22..2026-07-01,net25,1.0579,-0.4905,2.0869,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S3b_net50,ma_filter,"{""N"": 100, ""asset"": ""BTC"", ""cost_per_side"": 0.005}",2019-07-22..2026-07-01,net50,1.0326,-0.5006,2.0869,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S4a_gross,tsmom,"{""L"": 90, ""cost_per_side"": 0.0, ""k"": 0}",2019-07-22..2026-07-01,gross,0.6125,-0.8569,14.2908,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S4a_net25,tsmom,"{""L"": 90, ""cost_per_side"": 0.0025, ""k"": 0}",2019-07-22..2026-07-01,net25,0.5293,-0.8799,14.2908,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S4a_net50,tsmom,"{""L"": 90, ""cost_per_side"": 0.005, ""k"": 0}",2019-07-22..2026-07-01,net50,0.4461,-0.9163,14.2908,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S4b_gross,tsmom,"{""L"": 30, ""cost_per_side"": 0.0, ""k"": 0}",2019-07-22..2026-07-01,gross,0.3053,-0.9376,21.0868,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S4b_net25,tsmom,"{""L"": 30, ""cost_per_side"": 0.0025, ""k"": 0}",2019-07-22..2026-07-01,net25,0.1858,-0.9642,21.0868,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S4b_net50,tsmom,"{""L"": 30, ""cost_per_side"": 0.005, ""k"": 0}",2019-07-22..2026-07-01,net50,0.0665,-0.9795,21.0868,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S5a_gross,xsmom,"{""L"": 30, ""cost_per_side"": 0.0, ""k"": 0, ""select"": ""top3""}",2019-07-22..2026-07-01,gross,0.368,-0.9474,21.829,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S5a_net25,xsmom,"{""L"": 30, ""cost_per_side"": 0.0025, ""k"": 0, ""select"": ""top3""}",2019-07-22..2026-07-01,net25,0.2642,-0.9694,21.829,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S5a_net50,xsmom,"{""L"": 30, ""cost_per_side"": 0.005, ""k"": 0, ""select"": ""top3""}",2019-07-22..2026-07-01,net50,0.1604,-0.9822,21.829,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S5b_gross,xsmom,"{""L"": 30, ""cost_per_side"": 0.0, ""k"": 7, ""select"": ""top3""}",2019-07-22..2026-07-01,gross,0.5418,-0.9217,23.748,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S5b_net25,xsmom,"{""L"": 30, ""cost_per_side"": 0.0025, ""k"": 7, ""select"": ""top3""}",2019-07-22..2026-07-01,net25,0.4296,-0.9383,23.748,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S5b_net50,xsmom,"{""L"": 30, ""cost_per_side"": 0.005, ""k"": 7, ""select"": ""top3""}",2019-07-22..2026-07-01,net50,0.3172,-0.9513,23.748,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S5c_gross,xsmom,"{""L"": 30, ""cost_per_side"": 0.0, ""k"": 0, ""select"": ""q20""}",2019-07-22..2026-07-01,gross,0.4758,-0.916,21.0542,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S5c_net25,xsmom,"{""L"": 30, ""cost_per_side"": 0.0025, ""k"": 0, ""select"": ""q20""}",2019-07-22..2026-07-01,net25,0.3641,-0.9311,21.0542,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S5c_net50,xsmom,"{""L"": 30, ""cost_per_side"": 0.005, ""k"": 0, ""select"": ""q20""}",2019-07-22..2026-07-01,net50,0.2524,-0.9569,21.0542,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S6_gross,reversal,"{""L"": 7, ""cost_per_side"": 0.0, ""select"": ""bottom3""}",2019-07-22..2026-07-01,gross,0.1508,-0.9809,40.9713,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S6_net25,reversal,"{""L"": 7, ""cost_per_side"": 0.0025, ""select"": ""bottom3""}",2019-07-22..2026-07-01,net25,-0.0548,-0.9938,40.9713,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,S6_net50,reversal,"{""L"": 7, ""cost_per_side"": 0.005, ""select"": ""bottom3""}",2019-07-22..2026-07-01,net50,-0.2606,-0.998,40.9713,Stage C validation ladder (MASTER_BRIEF; spec docs/03 section 8)
2026-07-02,BASE_21_gross,phase2_base,"{""band"": 0.2, ""cost_per_side"": 0.0, ""lookback"": 21, ""mode"": ""tsmom""}",2019-07-22..2026-07-01,gross,1.0541,-0.3722,5.0751,Phase 2 decision run (registered)
2026-07-02,BASE_21_net25,phase2_base,"{""band"": 0.2, ""cost_per_side"": 0.0025, ""lookback"": 21, ""mode"": ""tsmom""}",2019-07-22..2026-07-01,net25,0.949,-0.386,5.0751,Phase 2 decision run (registered)
2026-07-02,BASE_21_net50,phase2_base,"{""band"": 0.2, ""cost_per_side"": 0.005, ""lookback"": 21, ""mode"": ""tsmom""}",2019-07-22..2026-07-01,net50,0.8433,-0.3996,5.0751,Phase 2 decision run (registered)
2026-07-02,BASE_14_gross,phase2_base,"{""band"": 0.2, ""cost_per_side"": 0.0, ""lookback"": 14, ""mode"": ""tsmom""}",2019-07-22..2026-07-01,gross,1.0863,-0.3898,5.9378,Phase 2 decision run (registered)
2026-07-02,BASE_14_net25,phase2_base,"{""band"": 0.2, ""cost_per_side"": 0.0025, ""lookback"": 14, ""mode"": ""tsmom""}",2019-07-22..2026-07-01,net25,0.9656,-0.4067,5.9378,Phase 2 decision run (registered)
2026-07-02,BASE_14_net50,phase2_base,"{""band"": 0.2, ""cost_per_side"": 0.005, ""lookback"": 14, ""mode"": ""tsmom""}",2019-07-22..2026-07-01,net50,0.8442,-0.4231,5.9378,Phase 2 decision run (registered)
2026-07-02,CHAL_21_gross,phase2_challenger,"{""band"": 0.2, ""cost_per_side"": 0.0, ""lookback"": 21, ""mode"": ""xsmom"", ""top_n"": 3}",2019-07-22..2026-07-01,gross,1.1623,-0.351,5.0217,Phase 2 decision run (registered)
2026-07-02,CHAL_21_net25,phase2_challenger,"{""band"": 0.2, ""cost_per_side"": 0.0025, ""lookback"": 21, ""mode"": ""xsmom"", ""top_n"": 3}",2019-07-22..2026-07-01,net25,1.0544,-0.365,5.0217,Phase 2 decision run (registered)
2026-07-02,CHAL_21_net50,phase2_challenger,"{""band"": 0.2, ""cost_per_side"": 0.005, ""lookback"": 21, ""mode"": ""xsmom"", ""top_n"": 3}",2019-07-22..2026-07-01,net50,0.9462,-0.3787,5.0217,Phase 2 decision run (registered)
2026-07-02,NBR_L28_net50,phase2_base,"{""band"": 0.2, ""cost_per_side"": 0.005, ""lookback"": 28, ""mode"": ""tsmom""}",2019-07-22..2026-07-01,net50,0.8263,-0.3833,4.5284,Phase 2 registered robustness neighbor (not for selection)
2026-07-02,NBR_GATE100_net50,phase2_base,"{""band"": 0.2, ""cost_per_side"": 0.005, ""gate_n"": 100, ""lookback"": 21, ""mode"": ""tsmom""}",2019-07-22..2026-07-01,net50,1.0641,-0.358,5.0507,Phase 2 registered robustness neighbor (not for selection)
2026-07-02,NBR_VT20_net50,phase2_base,"{""band"": 0.2, ""cost_per_side"": 0.005, ""lookback"": 21, ""mode"": ""tsmom"", ""vol_target"": 0.2}",2019-07-22..2026-07-01,net50,0.8411,-0.2872,3.4649,Phase 2 registered robustness neighbor (not for selection)
2026-07-02,NBR_VT40_net50,phase2_base,"{""band"": 0.2, ""cost_per_side"": 0.005, ""lookback"": 21, ""mode"": ""tsmom"", ""vol_target"": 0.4}",2019-07-22..2026-07-01,net50,0.8417,-0.4893,6.5848,Phase 2 registered robustness neighbor (not for selection)
2026-07-02,NBR_BAND10_net50,phase2_base,"{""band"": 0.1, ""cost_per_side"": 0.005, ""lookback"": 21, ""mode"": ""tsmom""}",2019-07-22..2026-07-01,net50,0.8414,-0.4006,5.1727,Phase 2 registered robustness neighbor (not for selection)
2026-07-02,NBR_BAND30_net50,phase2_base,"{""band"": 0.3, ""cost_per_side"": 0.005, ""lookback"": 21, ""mode"": ""tsmom""}",2019-07-22..2026-07-01,net50,0.8667,-0.3899,4.9385,Phase 2 registered robustness neighbor (not for selection)
